"","Date","Silver_Change","Copper_Change","WTI_Change","Brent_Change","Gold_Change","USD_Change","Gas_Change","Wheat_Change","Maize_Change","Soyabeans_Change","GPR_Change"
"1",2024-06-06,0.0429,0.0186,0.0192,0.0187,0.0065,-0.0016,0.0226,-0.0041,0.0237,0.0184,-0.0303
"2",2024-06-05,0.0154,0.0081,0.0104,0.01,0.012,0.0016,0.0592,-0.0118,-0.0042,0.0037,0.0893
"3",2024-06-04,-0.0378,-0.0274,-0.0139,-0.0121,-0.0093,-3e-04,-0.0478,-0.0076,-0.0018,-0.003,-0.0676
"4",2024-06-03,0.0112,0.0127,-0.0344,-0.0417,0.0099,-0.0052,0.0839,-0.0036,-0.0026,-0.0125,0.3201
"5",2024-05-31,-0.0347,-0.0116,-0.0104,-0.0029,-0.0087,-3e-04,0.0058,-8e-04,-0.0013,-0.0051,0.5144
"6",2024-05-30,-0.0258,-0.0265,-0.016,-0.0208,0.0107,-0.0036,0.0317,-0.0064,-0.0045,-0.0037,-0.373
"7",2024-05-29,0.0073,-0.0113,-0.0069,-0.0074,-0.0064,0.0047,-0.0375,-0.0019,-0.0101,-0.013,-0.0564
"8",2024-05-28,0.0203,0.0065,0.0089,0.0135,0.0097,-9e-04,-0.0683,0.0028,-0.0061,-0.015,-0.0146
"9",2024-05-27,0.0364,0.0117,0.0184,0.0119,-2e-04,0,0.0116,0.0033,0.0012,0,0.1835
"10",2024-05-24,0.0016,-0.0064,0.0101,0.0093,-0.0012,-0.0038,-0.0516,0.0069,0.0028,0.0071,0.1374
"11",2024-05-23,-0.033,-0.0084,-0.0089,-0.0066,-0.0232,0.0019,-0.0651,0.0058,0.0063,-0.0036,-0.2798
"12",2024-05-22,-0.018,-0.0469,-0.0192,-0.0118,-0.0136,0.0027,0.064,-8e-04,0.0041,0.0071,-0.2029
"13",2024-05-21,-0.0107,0.0046,-0.0081,-0.0099,-0.0051,9e-04,-0.0291,0.0019,-0.0037,-0.0078,0.2059
"14",2024-05-20,0.0377,0.0142,-0.0035,-0.0032,0.0087,0.0012,0.0476,0.0253,0.0165,0.015,0.3512
"15",2024-05-17,0.0463,0.0329,0.0107,0.0085,0.0133,-1e-04,0.0525,-0.0105,-0.0073,0.0123,0.3664
"16",2024-05-16,0.0052,0.002,0.0074,0.0063,-0.0038,0.0013,0.0327,-0.0028,-0.0087,0.0058,-0.024
"17",2024-05-15,0.0353,0.0121,0.0066,0.0045,0.0147,-0.0065,0.0307,0.0018,-0.0111,-0.0015,-0.1816
